ICD-10 code	ICD-10 code description	ICD-10 group	Ideation or action	Past or present 
T44.5X2S	Poisoning by predom beta-adrenocpt agonists, self-harm, sequela	self_harm	action	present
T44.6X2	Poisoning by alpha-adrenoreceptor antagonists, self-harm	self_harm	action	present
T44.6X2A	Poisoning by alpha-adrenocpt antagonists, self-harm, initial	self_harm	action	present
T44.6X2D	Poisoning by alpha-adrenocpt antagonists, self-harm, subsequent	self_harm	action	past
T44.6X2D	Poisoning by alpha-adrenocpt antagonists, self-harm, subsequent	self_harm	action	present
T44.6X2S	Poisoning by alpha-adrenocpt antagonists, self-harm, sequela	self_harm	action	past
T44.6X2S	Poisoning by alpha-adrenocpt antagonists, self-harm, sequela	self_harm	action	present
T44.7X2	Poisoning by beta-adrenoreceptor antagonists, self-harm	self_harm	action	present
T44.7X2A	Poisoning by beta-adrenocpt antagonists, self-harm, initial	self_harm	action	present
T44.7X2D	Poisoning by beta-adrenocpt antagonists, self-harm, subsequent	self_harm	action	past
T44.7X2D	Poisoning by beta-adrenocpt antagonists, self-harm, subsequent	self_harm	action	present
T44.7X2S	Poisoning by beta-adrenocpt antagonists, self-harm, sequela	self_harm	action	past
T44.7X2S	Poisoning by beta-adrenocpt antagonists, self-harm, sequela	self_harm	action	present
T44.8X2	Poisoning by centr-acting/adren-neurn-block agnt, self-harm	self_harm	action	present
T44.8X2A	Poisoning by centr-acting/adren-neurn-block agnt, Self-harm, initial	self_harm	action	present
T44.8X2D	Poisoning by centr-acting/adren-neurn-block agnt, Self-harm, subsequent	self_harm	action	past
T44.8X2D	Poisoning by centr-acting/adren-neurn-block agnt, Self-harm, subsequent	self_harm	action	present
T44.8X2S	Poisoning by centr-acting/adren-neurn-block agnt, Self-harm, sequela	self_harm	action	past
T44.8X2S	Poisoning by centr-acting/adren-neurn-block agnt, Self-harm, sequela	self_harm	action	present
T44.902	Poisoning by unspecified drugs aff the autonm nervous sys, self-harm	self_harm	action	present
T44.902A	Poisoning by unspecified drugs aff the autonm nrv sys, Self-harm, initial	self_harm	action	present
T44.902D	Poisoning by unspecified drugs aff the autonm nrv sys, Self-harm, subsequent	self_harm	action	past
T44.902D	Poisoning by unspecified drugs aff the autonm nrv sys, Self-harm, subsequent	self_harm	action	present
T44.902S	Poisoning by unspecified drugs aff the autonm nrv sys, Self-harm, sequela	self_harm	action	past
T44.902S	Poisoning by unspecified drugs aff the autonm nrv sys, Self-harm, sequela	self_harm	action	present
T44.992	Poisoning by other drug aff the autonm nervous sys, self-harm	self_harm	action	present
T44.992A	Poisoning by other drug aff the autonm nervous sys, Self-harm, initial	self_harm	action	present
T44.992D	Poisoning by other drug aff the autonm nervous sys, Self-harm, subsequent	self_harm	action	past
T44.992D	Poisoning by other drug aff the autonm nervous sys, Self-harm, subsequent	self_harm	action	present
T44.992S	Poisoning by other drug aff the autonm nrv sys, Self-harm, sequela	self_harm	action	past
T44.992S	Poisoning by other drug aff the autonm nrv sys, Self-harm, sequela	self_harm	action	present
T45.0X2	Poisoning by antiallerg/antiemetic, intentional self-harm	self_harm	action	present
T45.0X2A	Poisoning by antiallerg/antiemetic, self-harm, initial	self_harm	action	present
T45.0X2D	Poisoning by antiallerg/antiemetic, self-harm, subsequent	self_harm	action	past
T45.0X2D	Poisoning by antiallerg/antiemetic, self-harm, subsequent	self_harm	action	present
T45.0X2S	Poisoning by antiallerg/antiemetic, self-harm, sequela	self_harm	action	past
T45.0X2S	Poisoning by antiallerg/antiemetic, self-harm, sequela	self_harm	action	present
T45.1X2	Poisoning by antineoplastic and immunosup drugs, self-harm	self_harm	action	present
T45.1X2A	Poisoning by antineopl and immunosup drugs, self-harm, initial	self_harm	action	present
T45.1X2D	Poisoning by antineopl and immunosup drugs, self-harm, subsequent	self_harm	action	past
T45.1X2D	Poisoning by antineopl and immunosup drugs, self-harm, subsequent	self_harm	action	present
T45.1X2S	Poisoning by antineopl and immunosup drugs, self-harm, sequela	self_harm	action	past
T45.1X2S	Poisoning by antineopl and immunosup drugs, self-harm, sequela	self_harm	action	present
T45.2X2	Poisoning by vitamins, intentional self-harm	self_harm	action	present
T45.2X2A	Poisoning by vitamins, intentional self-harm, initial encounter	self_harm	action	present
T45.2X2D	Poisoning by vitamins, intentional self-harm, subsequent encounter	self_harm	action	past
T45.2X2D	Poisoning by vitamins, intentional self-harm, subsequent encounter	self_harm	action	present
T45.2X2S	Poisoning by vitamins, intentional self-harm, sequela	self_harm	action	past
T45.2X2S	Poisoning by vitamins, intentional self-harm, sequela	self_harm	action	present
T45.3X2	Poisoning by enzymes, intentional self-harm	self_harm	action	present
T45.3X2A	Poisoning by enzymes, intentional self-harm, initial encounter	self_harm	action	present
T45.3X2D	Poisoning by enzymes, intentional self-harm, subsequent encounter	self_harm	action	past
T45.3X2D	Poisoning by enzymes, intentional self-harm, subsequent encounter	self_harm	action	present
T45.3X2S	Poisoning by enzymes, intentional self-harm, sequela	self_harm	action	past
T45.3X2S	Poisoning by enzymes, intentional self-harm, sequela	self_harm	action	present
T45.4X2	Poisoning by iron and its compounds, intentional self-harm	self_harm	action	present
T45.4X2A	Poisoning by iron and its compounds, self-harm, initial	self_harm	action	present
T45.4X2D	Poisoning by iron and its compounds, self-harm, subsequent	self_harm	action	past
T45.4X2D	Poisoning by iron and its compounds, self-harm, subsequent	self_harm	action	present
T45.4X2S	Poisoning by iron and its compounds, self-harm, sequela	self_harm	action	past
T45.4X2S	Poisoning by iron and its compounds, self-harm, sequela	self_harm	action	present
T45.512	Poisoning by anticoagulants, intentional self-harm	self_harm	action	present
T45.512A	Poisoning by anticoagulants, intentional self-harm, initial	self_harm	action	present
T45.512D	Poisoning by anticoagulants, intentional self-harm, subsequent	self_harm	action	past
T45.512D	Poisoning by anticoagulants, intentional self-harm, subsequent	self_harm	action	present
T45.512S	Poisoning by anticoagulants, intentional self-harm, sequela	self_harm	action	past
T45.512S	Poisoning by anticoagulants, intentional self-harm, sequela	self_harm	action	present
T45.522	Poisoning by antithrombotic drugs, intentional self-harm	self_harm	action	present
T45.522A	Poisoning by antithrombotic drugs, self-harm, initial	self_harm	action	present
T45.522D	Poisoning by antithrombotic drugs, self-harm, subsequent	self_harm	action	past
T45.522D	Poisoning by antithrombotic drugs, self-harm, subsequent	self_harm	action	present
T45.522S	Poisoning by antithrombotic drugs, self-harm, sequela	self_harm	action	past
T45.522S	Poisoning by antithrombotic drugs, self-harm, sequela	self_harm	action	present
T45.602	Poisoning by unspecified fibrin-affct drugs, intentional self-harm	self_harm	action	present
T45.602A	Poisoning by unspecified fibrin-affct drugs, self-harm, initial	self_harm	action	present
T45.602D	Poisoning by unspecified fibrin-affct drugs, self-harm, subsequent	self_harm	action	past
T45.602D	Poisoning by unspecified fibrin-affct drugs, self-harm, subsequent	self_harm	action	present
T45.602S	Poisoning by unspecified fibrin-affct drugs, self-harm, sequela	self_harm	action	past
T45.602S	Poisoning by unspecified fibrin-affct drugs, self-harm, sequela	self_harm	action	present
T45.612	Poisoning by thrombolytic drug, intentional self-harm	self_harm	action	present
T45.612A	Poisoning by thrombolytic drug, intentional self-harm, initial	self_harm	action	present
T45.612D	Poisoning by thrombolytic drug, intentional self-harm, subsequent	self_harm	action	past
T45.612D	Poisoning by thrombolytic drug, intentional self-harm, subsequent	self_harm	action	present
T45.612S	Poisoning by thrombolytic drug, self-harm, sequela	self_harm	action	past
T45.612S	Poisoning by thrombolytic drug, self-harm, sequela	self_harm	action	present
T45.622	Poisoning by hemostatic drug, intentional self-harm	self_harm	action	present
T45.622A	Poisoning by hemostatic drug, intentional self-harm, initial	self_harm	action	present
T45.622D	Poisoning by hemostatic drug, intentional self-harm, subsequent	self_harm	action	past
T45.622D	Poisoning by hemostatic drug, intentional self-harm, subsequent	self_harm	action	present
T45.622S	Poisoning by hemostatic drug, intentional self-harm, sequela	self_harm	action	past
T45.622S	Poisoning by hemostatic drug, intentional self-harm, sequela	self_harm	action	present
T45.692	Poisoning by other fibrin-affct drugs, intentional self-harm	self_harm	action	present
T45.692A	Poisoning by other fibrin-affct drugs, self-harm, initial	self_harm	action	present
T45.692D	Poisoning by other fibrin-affct drugs, self-harm, subsequent	self_harm	action	past
T45.692D	Poisoning by other fibrin-affct drugs, self-harm, subsequent	self_harm	action	present
T45.692S	Poisoning by other fibrin-affct drugs, self-harm, sequela	self_harm	action	past
T45.692S	Poisoning by other fibrin-affct drugs, self-harm, sequela	self_harm	action	present
T45.7X2	Poisoning by anticoag antag, vitamin K and other coag, self-harm	self_harm	action	present
T45.7X2A	Poisoning by anticoag antag, vit K and other coag, Self-harm, initial	self_harm	action	present
T45.7X2D	Poisoning by anticoag antag, vit K and other coag, Self-harm, subsequent	self_harm	action	past
T45.7X2D	Poisoning by anticoag antag, vit K and other coag, Self-harm, subsequent	self_harm	action	present
T45.7X2S	Poisoning by anticoag antag, vit K and other coag, Self-harm, sequela	self_harm	action	past
T45.7X2S	Poisoning by anticoag antag, vit K and other coag, Self-harm, sequela	self_harm	action	present
T45.8X2	Poisoning by other prim systemic and hematolog agents, self-harm	self_harm	action	present
T45.8X2A	Poisoning by other prim sys and hematolog agents, Self-harm, initial	self_harm	action	present
T45.8X2D	Poisoning by other prim sys and hematolog agents, Self-harm, subsequent	self_harm	action	past
T45.8X2D	Poisoning by other prim sys and hematolog agents, Self-harm, subsequent	self_harm	action	present
T45.8X2S	Poisoning by other prim sys and hematolog agents, Self-harm, sequela	self_harm	action	past
T45.8X2S	Poisoning by other prim sys and hematolog agents, Self-harm, sequela	self_harm	action	present
T45.92XA	Poisoning by unspecified prim sys and hematolog agent, Self-harm, initial	self_harm	action	present
T45.92XD	Poisoning by unspecified prim sys and hematolog agent, Self-harm, subsequent	self_harm	action	past
T45.92XD	Poisoning by unspecified prim sys and hematolog agent, Self-harm, subsequent	self_harm	action	present
T45.92XS	Poisoning by unspecified prim sys and hematolog agent, Self-harm, sequela	self_harm	action	past
T45.92XS	Poisoning by unspecified prim sys and hematolog agent, Self-harm, sequela	self_harm	action	present
T46.0X2	Poisoning by cardi-stim glycos/drug simlar act, self-harm	self_harm	action	present
T46.0X2A	Poisoning by cardi-stim glycos/drug simlar act, self-harm, initial	self_harm	action	present
T46.0X2D	Poisoning by cardi-stim glycos/drug simlar act, self-harm, subsequent	self_harm	action	past
T46.0X2D	Poisoning by cardi-stim glycos/drug simlar act, self-harm, subsequent	self_harm	action	present
T46.0X2S	Poisoning by cardi-stim glycos/drug simlar act, Self-harm, sequela	self_harm	action	past
T46.0X2S	Poisoning by cardi-stim glycos/drug simlar act, Self-harm, sequela	self_harm	action	present
T46.1X2	Poisoning by calcium-channel blockers, intentional self-harm	self_harm	action	present
T46.1X2A	Poisoning by calcium-channel blockers, self-harm, initial	self_harm	action	present
T46.1X2D	Poisoning by calcium-channel blockers, self-harm, subsequent	self_harm	action	past
T46.1X2D	Poisoning by calcium-channel blockers, self-harm, subsequent	self_harm	action	present
T46.1X2S	Poisoning by calcium-channel blockers, self-harm, sequela	self_harm	action	past
T46.1X2S	Poisoning by calcium-channel blockers, self-harm, sequela	self_harm	action	present
T46.2X2	Poisoning by other antidysrhythmic drugs, self-harm	self_harm	action	present
T46.2X2A	Poisoning by other antidysrhythmic drugs, self-harm, initial	self_harm	action	present
T46.2X2D	Poisoning by other antidysrhythmic drugs, self-harm, subsequent	self_harm	action	past
T46.2X2D	Poisoning by other antidysrhythmic drugs, self-harm, subsequent	self_harm	action	present
T46.2X2S	Poisoning by other antidysrhythmic drugs, self-harm, sequela	self_harm	action	past
T46.2X2S	Poisoning by other antidysrhythmic drugs, self-harm, sequela	self_harm	action	present
T46.3X2	Poisoning by coronary vasodilators, intentional self-harm	self_harm	action	present
T46.3X2A	Poisoning by coronary vasodilators, self-harm, initial	self_harm	action	present
T46.3X2D	Poisoning by coronary vasodilators, self-harm, subsequent	self_harm	action	past
T46.3X2D	Poisoning by coronary vasodilators, self-harm, subsequent	self_harm	action	present
T46.3X2S	Poisoning by coronary vasodilators, self-harm, sequela	self_harm	action	past
T46.3X2S	Poisoning by coronary vasodilators, self-harm, sequela	self_harm	action	present
T46.4X2	Poisoning by angiotens-convert-enzyme inhibitors, self-harm	self_harm	action	present
T46.4X2A	Poisoning by angiotens-convert-enzyme inhibtr, self-harm, initial	self_harm	action	present
T46.4X2D	Poisoning by angiotens-convert-enzyme inhibtr, self-harm, subsequent	self_harm	action	past
T46.4X2D	Poisoning by angiotens-convert-enzyme inhibtr, self-harm, subsequent	self_harm	action	present
T46.4X2S	Poisoning by angiotens-convert-enzyme inhibtr, Self-harm, sequela	self_harm	action	past
T46.4X2S	Poisoning by angiotens-convert-enzyme inhibtr, Self-harm, sequela	self_harm	action	present
T46.5X2	Poisoning by other antihypertensive drugs, self-harm	self_harm	action	present
T46.5X2A	Poisoning by other antihypertensive drugs, self-harm, initial	self_harm	action	present
T46.5X2D	Poisoning by other antihypertensive drugs, self-harm, subsequent	self_harm	action	past
T46.5X2D	Poisoning by other antihypertensive drugs, self-harm, subsequent	self_harm	action	present
T46.5X2S	Poisoning by other antihypertensive drugs, self-harm, sequela	self_harm	action	past
T46.5X2S	Poisoning by other antihypertensive drugs, self-harm, sequela	self_harm	action	present
T46.6X2	Poisoning by antihyperlip and antiarterio drugs, self-harm	self_harm	action	present
T46.6X2A	Poisoning by antihyperlip and antiarterio drugs, self-harm, initial	self_harm	action	present
T46.6X2D	Poisoning by antihyperlip and antiarterio drugs, self-harm, subsequent	self_harm	action	past
T46.6X2D	Poisoning by antihyperlip and antiarterio drugs, self-harm, subsequent	self_harm	action	present
T46.6X2S	Poisoning by antihyperlip and antiarterio drugs, Self-harm, sequela	self_harm	action	past
T46.6X2S	Poisoning by antihyperlip and antiarterio drugs, Self-harm, sequela	self_harm	action	present
T46.7X2	Poisoning by peripheral vasodilators, intentional self-harm	self_harm	action	present
T46.7X2A	Poisoning by peripheral vasodilators, self-harm, initial	self_harm	action	present
T46.7X2D	Poisoning by peripheral vasodilators, self-harm, subsequent	self_harm	action	past
T46.7X2D	Poisoning by peripheral vasodilators, self-harm, subsequent	self_harm	action	present
T46.7X2S	Poisoning by peripheral vasodilators, self-harm, sequela	self_harm	action	past
T46.7X2S	Poisoning by peripheral vasodilators, self-harm, sequela	self_harm	action	present
T46.8X2	Poisoning by antivaric drugs, inc scler agents, self-harm	self_harm	action	present
T46.8X2A	Poisoning by antivaric drugs, inc scler agents, self-harm, initial	self_harm	action	present
T46.8X2D	Poisoning by antivaric drugs, inc scler agents, self-harm, subsequent	self_harm	action	past
T46.8X2D	Poisoning by antivaric drugs, inc scler agents, self-harm, subsequent	self_harm	action	present
T46.8X2S	Poisoning by antivaric drugs, inc scler agents, Self-harm, sequela	self_harm	action	past
T46.8X2S	Poisoning by antivaric drugs, inc scler agents, Self-harm, sequela	self_harm	action	present
T46.902	Poisoning by unspecified agents aff the cardiovasc sys, self-harm	self_harm	action	present
T46.902A	Poisoning by unspecified agents aff the cardiovasc sys, self-harm, initial	self_harm	action	present
T46.902D	Poisoning by unspecified agents aff the cardiovasc sys, self-harm, subsequent	self_harm	action	past
T46.902D	Poisoning by unspecified agents aff the cardiovasc sys, self-harm, subsequent	self_harm	action	present
T46.902S	Poisoning by unspecified agents aff the cardiovasc sys, Self-harm, sequela	self_harm	action	past
T46.902S	Poisoning by unspecified agents aff the cardiovasc sys, Self-harm, sequela	self_harm	action	present
T46.992	Poisoning by other agents aff the cardiovasc sys, self-harm	self_harm	action	present
T46.992A	Poisoning by other agents aff the cardiovasc sys, self-harm, initial	self_harm	action	present
T46.992D	Poisoning by other agents aff the cardiovasc sys, self-harm, subsequent	self_harm	action	past
T46.992D	Poisoning by other agents aff the cardiovasc sys, self-harm, subsequent	self_harm	action	present
T46.992S	Poisoning by other agents aff the cardiovasc sys, Self-harm, sequela	self_harm	action	past
T46.992S	Poisoning by other agents aff the cardiovasc sys, Self-harm, sequela	self_harm	action	present
T47.0X2	Poisoning by histamine H2-receptor blockers, self-harm	self_harm	action	present
T47.0X2A	Poisoning by histamine H2-receptor blockers, self-harm, initial	self_harm	action	present
T47.0X2D	Poisoning by histamine H2-receptor blockers, self-harm, subsequent	self_harm	action	past
T47.0X2D	Poisoning by histamine H2-receptor blockers, self-harm, subsequent	self_harm	action	present
T47.0X2S	Poisoning by histamine H2-receptor blockers, self-harm, sequela	self_harm	action	past
T47.0X2S	Poisoning by histamine H2-receptor blockers, self-harm, sequela	self_harm	action	present
T47.1X2	Poisoning by other antacids and anti-gstrc-sec drugs, self-harm	self_harm	action	present
T47.1X2A	Poisoning by other antacids & anti-gstrc-sec drugs, Self-harm, initial	self_harm	action	present
T47.1X2D	Poisoning by other antacids & anti-gstrc-sec drugs, Self-harm, subsequent	self_harm	action	past
T47.1X2D	Poisoning by other antacids & anti-gstrc-sec drugs, Self-harm, subsequent	self_harm	action	present
T47.1X2S	Poisoning by other antacids & anti-gstrc-sec drugs, Self-harm, sequela	self_harm	action	past
T47.1X2S	Poisoning by other antacids & anti-gstrc-sec drugs, Self-harm, sequela	self_harm	action	present
T47.2X2	Poisoning by stimulant laxatives, intentional self-harm	self_harm	action	present
T47.2X2A	Poisoning by stimulant laxatives, self-harm, initial	self_harm	action	present
T47.2X2D	Poisoning by stimulant laxatives, self-harm, subsequent	self_harm	action	past
T47.2X2D	Poisoning by stimulant laxatives, self-harm, subsequent	self_harm	action	present
T47.2X2S	Poisoning by stimulant laxatives, self-harm, sequela	self_harm	action	past
T47.2X2S	Poisoning by stimulant laxatives, self-harm, sequela	self_harm	action	present
T47.3X2	Poisoning by saline and osmotic laxatives, self-harm	self_harm	action	present
T47.3X2A	Poisoning by saline and osmotic laxatives, self-harm, initial	self_harm	action	present
T47.3X2D	Poisoning by saline and osmotic laxatives, self-harm, subsequent	self_harm	action	past
T47.3X2D	Poisoning by saline and osmotic laxatives, self-harm, subsequent	self_harm	action	present
T47.3X2S	Poisoning by saline and osmotic laxtv, self-harm, sequela	self_harm	action	past
T47.3X2S	Poisoning by saline and osmotic laxtv, self-harm, sequela	self_harm	action	present
T47.4X2	Poisoning by other laxatives, intentional self-harm	self_harm	action	present
T47.4X2A	Poisoning by other laxatives, intentional self-harm, initial	self_harm	action	present
T47.4X2D	Poisoning by other laxatives, intentional self-harm, subsequent	self_harm	action	past
T47.4X2D	Poisoning by other laxatives, intentional self-harm, subsequent	self_harm	action	present
T47.4X2S	Poisoning by other laxatives, intentional self-harm, sequela	self_harm	action	past
T47.4X2S	Poisoning by other laxatives, intentional self-harm, sequela	self_harm	action	present
T47.5X2	Poisoning by digestants, intentional self-harm	self_harm	action	present
T47.5X2A	Poisoning by digestants, intentional self-harm, initial encounter	self_harm	action	present
T47.5X2D	Poisoning by digestants, intentional self-harm, subsequent encounter	self_harm	action	past
T47.5X2D	Poisoning by digestants, intentional self-harm, subsequent encounter	self_harm	action	present
T47.5X2S	Poisoning by digestants, intentional self-harm, sequela	self_harm	action	past
T47.5X2S	Poisoning by digestants, intentional self-harm, sequela	self_harm	action	present
T47.6X2	Poisoning by antidiarrheal drugs, intentional self-harm	self_harm	action	present
T47.6X2A	Poisoning by antidiarrheal drugs, self-harm, initial	self_harm	action	present
T47.6X2D	Poisoning by antidiarrheal drugs, self-harm, subsequent	self_harm	action	past
T47.6X2D	Poisoning by antidiarrheal drugs, self-harm, subsequent	self_harm	action	present
T47.6X2S	Poisoning by antidiarrheal drugs, self-harm, sequela	self_harm	action	past
T47.6X2S	Poisoning by antidiarrheal drugs, self-harm, sequela	self_harm	action	present
T47.7X2	Poisoning by emetics, intentional self-harm	self_harm	action	present
T47.7X2A	Poisoning by emetics, intentional self-harm, initial encounter	self_harm	action	present
T47.7X2D	Poisoning by emetics, intentional self-harm, subsequent encounter	self_harm	action	past
T47.7X2D	Poisoning by emetics, intentional self-harm, subsequent encounter	self_harm	action	present
T47.7X2S	Poisoning by emetics, intentional self-harm, sequela	self_harm	action	past
T47.7X2S	Poisoning by emetics, intentional self-harm, sequela	self_harm	action	present
T47.8X2	Poisoning by other agents aff GI sys, self-harm	self_harm	action	present
T47.8X2A	Poisoning by other agents aff GI sys, self-harm, initial	self_harm	action	present
T47.8X2D	Poisoning by other agents aff GI sys, self-harm, subsequent	self_harm	action	past
T47.8X2D	Poisoning by other agents aff GI sys, self-harm, subsequent	self_harm	action	present
T47.8X2S	Poisoning by other agents aff GI sys, self-harm, sequela	self_harm	action	past
T47.8X2S	Poisoning by other agents aff GI sys, self-harm, sequela	self_harm	action	present
T47.92XA	Poisoning by unspecified agents aff the GI sys, self-harm, initial	self_harm	action	present
T47.92XD	Poisoning by unspecified agents aff the GI sys, self-harm, subsequent	self_harm	action	past
T47.92XD	Poisoning by unspecified agents aff the GI sys, self-harm, subsequent	self_harm	action	present
T47.92XS	Poisoning by unspecified agents aff the GI sys, self-harm, sequela	self_harm	action	past
T47.92XS	Poisoning by unspecified agents aff the GI sys, self-harm, sequela	self_harm	action	present
T48.0X2	Poisoning by oxytocic drugs, intentional self-harm	self_harm	action	present
T48.0X2A	Poisoning by oxytocic drugs, intentional self-harm, initial	self_harm	action	present
T48.0X2D	Poisoning by oxytocic drugs, intentional self-harm, subsequent	self_harm	action	past
T48.0X2D	Poisoning by oxytocic drugs, intentional self-harm, subsequent	self_harm	action	present
T48.0X2S	Poisoning by oxytocic drugs, intentional self-harm, sequela	self_harm	action	past
T48.0X2S	Poisoning by oxytocic drugs, intentional self-harm, sequela	self_harm	action	present
T48.1X2	Poisoning by skeletal muscle relaxants, self-harm	self_harm	action	present
T48.1X2A	Poisoning by skeletal muscle relaxants, self-harm, initial	self_harm	action	present
T48.1X2D	Poisoning by skeletal muscle relaxants, self-harm, subsequent	self_harm	action	past
T48.1X2D	Poisoning by skeletal muscle relaxants, self-harm, subsequent	self_harm	action	present
T48.1X2S	Poisoning by skeletal muscle relaxants, self-harm, sequela	self_harm	action	past
T48.1X2S	Poisoning by skeletal muscle relaxants, self-harm, sequela	self_harm	action	present
T48.202	Poisoning by unspecified drugs acting on muscles, self-harm	self_harm	action	present
T48.202A	Poisoning by unspecified drugs acting on muscles, self-harm, initial	self_harm	action	present
T48.202D	Poisoning by unspecified drugs acting on muscles, self-harm, subsequent	self_harm	action	past
T48.202D	Poisoning by unspecified drugs acting on muscles, self-harm, subsequent	self_harm	action	present
T48.202S	Poisoning by unspecified drugs acting on muscles, self-harm, sequela	self_harm	action	past
T48.202S	Poisoning by unspecified drugs acting on muscles, self-harm, sequela	self_harm	action	present
T48.292	Poisoning by other drugs acting on muscles, self-harm	self_harm	action	present
T48.292A	Poisoning by other drugs acting on muscles, self-harm, initial	self_harm	action	present
T48.292D	Poisoning by other drugs acting on muscles, self-harm, subsequent	self_harm	action	past
T48.292D	Poisoning by other drugs acting on muscles, self-harm, subsequent	self_harm	action	present
T48.292S	Poisoning by other drugs acting on muscles, self-harm, sequela	self_harm	action	past
T48.292S	Poisoning by other drugs acting on muscles, self-harm, sequela	self_harm	action	present
T48.3X2	Poisoning by antitussives, intentional self-harm	self_harm	action	present
T48.3X2A	Poisoning by antitussives, intentional self-harm, initial	self_harm	action	present
T48.3X2D	Poisoning by antitussives, intentional self-harm, subsequent	self_harm	action	past
T48.3X2D	Poisoning by antitussives, intentional self-harm, subsequent	self_harm	action	present
T48.3X2S	Poisoning by antitussives, intentional self-harm, sequela	self_harm	action	past
T48.3X2S	Poisoning by antitussives, intentional self-harm, sequela	self_harm	action	present
T48.4X2	Poisoning by expectorants, intentional self-harm	self_harm	action	present
T48.4X2A	Poisoning by expectorants, intentional self-harm, initial	self_harm	action	present
T48.4X2D	Poisoning by expectorants, intentional self-harm, subsequent	self_harm	action	past
T48.4X2D	Poisoning by expectorants, intentional self-harm, subsequent	self_harm	action	present
T48.4X2S	Poisoning by expectorants, intentional self-harm, sequela	self_harm	action	past
T48.4X2S	Poisoning by expectorants, intentional self-harm, sequela	self_harm	action	present
T48.5X2	Poisoning by other anti-common-cold drugs, self-harm	self_harm	action	present
T48.5X2A	Poisoning by other anti-common-cold drugs, self-harm, initial	self_harm	action	present
T48.5X2D	Poisoning by other anti-common-cold drugs, self-harm, subsequent	self_harm	action	past
T48.5X2D	Poisoning by other anti-common-cold drugs, self-harm, subsequent	self_harm	action	present
T48.5X2S	Poisoning by other anti-common-cold drugs, self-harm, sequela	self_harm	action	past
T48.5X2S	Poisoning by other anti-common-cold drugs, self-harm, sequela	self_harm	action	present
T48.6X2	Poisoning by antiasthmatics, intentional self-harm	self_harm	action	present
T48.6X2A	Poisoning by antiasthmatics, intentional self-harm, initial	self_harm	action	present
T48.6X2D	Poisoning by antiasthmatics, intentional self-harm, subsequent	self_harm	action	past
T48.6X2D	Poisoning by antiasthmatics, intentional self-harm, subsequent	self_harm	action	present
T48.6X2S	Poisoning by antiasthmatics, intentional self-harm, sequela	self_harm	action	past
T48.6X2S	Poisoning by antiasthmatics, intentional self-harm, sequela	self_harm	action	present
T48.902	Poisoning by unspecified agents prim acting on the resp sys, self-harm	self_harm	action	present
T48.902A	Poisoning by unspecified agents prim act on the resp sys, Self-harm, initial	self_harm	action	present
T48.902D	Poisoning by unspecified agents prim act on the resp sys, Self-harm, subsequent	self_harm	action	past
T48.902D	Poisoning by unspecified agents prim act on the resp sys, Self-harm, subsequent	self_harm	action	present
T48.902S	Poisoning by unspecified agents prim act on the resp sys, Self-harm, sequela	self_harm	action	past
T48.902S	Poisoning by unspecified agents prim act on the resp sys, Self-harm, sequela	self_harm	action	present
T48.992	Poisoning by other agents prim acting on the resp sys, self-harm	self_harm	action	present
T48.992A	Poisoning by other agents prim act on the resp sys, Self-harm, initial	self_harm	action	present
T48.992D	Poisoning by other agents prim act on the resp sys, Self-harm, subsequent	self_harm	action	past
T48.992D	Poisoning by other agents prim act on the resp sys, Self-harm, subsequent	self_harm	action	present
T48.992S	Poisoning by other agents prim act on the resp sys, Self-harm, sequela	self_harm	action	past
T48.992S	Poisoning by other agents prim act on the resp sys, Self-harm, sequela	self_harm	action	present
T49.0X2	Poisoning by local antifung/infect/inflamm drugs, self-harm	self_harm	action	present
T49.0X2A	Poisoning by local antifung/infect/inflamm drugs, Self-harm, initial	self_harm	action	present
T49.0X2D	Poisoning by local antifung/infect/inflamm drugs, Self-harm, subsequent	self_harm	action	past
T49.0X2D	Poisoning by local antifung/infect/inflamm drugs, Self-harm, subsequent	self_harm	action	present
T49.0X2S	Poisoning by local antifung/infect/inflamm drugs, Self-harm, sequela	self_harm	action	past
T49.0X2S	Poisoning by local antifung/infect/inflamm drugs, Self-harm, sequela	self_harm	action	present
T49.1X2	Poisoning by antipruritics, intentional self-harm	self_harm	action	present
T49.1X2A	Poisoning by antipruritics, intentional self-harm, initial	self_harm	action	present
T49.1X2D	Poisoning by antipruritics, intentional self-harm, subsequent	self_harm	action	past
T49.1X2D	Poisoning by antipruritics, intentional self-harm, subsequent	self_harm	action	present
T49.1X2S	Poisoning by antipruritics, intentional self-harm, sequela	self_harm	action	past
T49.1X2S	Poisoning by antipruritics, intentional self-harm, sequela	self_harm	action	present
T49.2X2	Poisoning by local astringents/detergents, self-harm	self_harm	action	present
T49.2X2A	Poisoning by local astringents/detergents, self-harm, initial	self_harm	action	present
T49.2X2D	Poisoning by local astringents/detergents, self-harm, subsequent	self_harm	action	past
T49.2X2D	Poisoning by local astringents/detergents, self-harm, subsequent	self_harm	action	present
T49.2X2S	Poisoning by local astringents/detergents, self-harm, sequela	self_harm	action	past
T49.2X2S	Poisoning by local astringents/detergents, self-harm, sequela	self_harm	action	present
T49.3X2	Poisoning by emollients, demulcents and protect, self-harm	self_harm	action	present
T49.3X2A	Poisoning by emollients, demulcents and protect, self-harm, initial	self_harm	action	present
T49.3X2D	Poisoning by emollients, demulcents and protect, self-harm, subsequent	self_harm	action	past
